Step,Deviation,Deviation Feedback,Distance,Distance_Deriv,Runtime,Nb Line,Nb Points,Matching,Rudder,Throttle,Brakes
50,0.0,-0.000900900903287692,17.0,0.0,16.643047332763672,3,50,0,0.03603603613150768,0.6000000000000001,0.0
51,0.0,-0.000900900903287692,17.0,0.0,15.999794006347656,3,50,0,0.03603603613150768,0.6000000000000001,0.0
52,0.0,-0.000900900903287692,17.0,0.0,18.31531524658203,3,50,0,0.03603603613150768,0.6000000000000001,0.0
53,0.0,-0.000900900903287692,17.0,0.0,17.66371726989746,3,50,0,0.03603603613150768,0.6000000000000001,0.0
54,0.0,-0.000900900903287692,17.0,0.0,17.898082733154297,3,50,0,0.03603603613150768,0.6000000000000001,0.0
55,0.0,-0.000900900903287692,17.0,0.0,17.99297332763672,3,50,0,0.03603603613150768,0.6000000000000001,0.0
56,0.0,-0.000900900903287692,17.0,0.0,17.992019653320312,3,50,0,0.03603603613150768,0.6000000000000001,0.0
57,0.0,-0.000900900903287692,17.0,0.0,21.000146865844727,3,50,0,0.03603603613150768,0.6000000000000001,0.0
58,0.0,-0.000900900903287692,17.0,0.0,20.23911476135254,3,50,0,0.03603603613150768,0.6000000000000001,0.0
59,0.0,-0.000900900903287692,17.0,0.0,17.995834350585938,3,50,0,0.03603603613150768,0.6000000000000001,0.0
60,0.0,-0.000900900903287692,17.0,0.0,15.999794006347656,3,50,0,0.03603603613150768,0.6000000000000001,0.0
61,0.0,-0.000900900903287692,17.0,0.0,16.004085540771484,3,50,0,0.03603603613150768,0.6000000000000001,0.0
62,0.0,-0.000900900903287692,17.0,0.0,17.005443572998047,3,50,0,0.03603603613150768,0.6000000000000001,0.0
63,0.0,-0.000900900903287692,17.0,0.0,18.000125885009766,3,50,0,0.03603603613150768,0.6000000000000001,0.0
64,0.0,-0.000900900903287692,17.0,0.0,16.988515853881836,3,50,0,0.03603603613150768,0.6000000000000001,0.0
65,0.0,-0.000900900903287692,17.0,0.0,17.99321174621582,3,50,0,0.03603603613150768,0.6000000000000001,0.0
66,0.0,-0.000900900903287692,17.0,0.0,17.001867294311523,3,50,0,0.03603603613150768,0.6000000000000001,0.0
67,0.0,-0.000900900903287692,17.0,0.0,16.005992889404297,3,50,0,0.03603603613150768,0.6000000000000001,0.0
68,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,50,0,0.03603603613150768,0.6000000000000001,0.0
69,0.0,-0.000900900903287692,17.0,0.0,17.00615882873535,3,50,0,0.03603603613150768,0.6000000000000001,0.0
70,0.0,-0.000900900903287692,17.0,0.0,17.999649047851562,3,50,0,0.03603603613150768,0.6000000000000001,0.0
71,0.0,-0.000900900903287692,17.0,0.0,18.470048904418945,3,50,0,0.03603603613150768,0.6000000000000001,0.0
72,0.0,-0.000900900903287692,17.0,0.0,18.7685489654541,3,50,0,0.03603603613150768,0.6000000000000001,0.0
73,0.0,-0.000900900903287692,17.0,0.0,19.011259078979492,3,50,0,0.03603603613150768,0.6000000000000001,0.0
74,0.0,-0.000900900903287692,17.0,0.0,17.50802993774414,3,50,0,0.03603603613150768,0.6000000000000001,0.0
75,0.0,-0.000900900903287692,17.0,0.0,17.999887466430664,3,50,0,0.03603603613150768,0.6000000000000001,0.0
