Step,Deviation,Deviation Feedback,Distance,Distance_Deriv,Runtime,Nb Line,Nb Points,Matching,Rudder,Throttle,Brakes
0,0.0,-0.0009009009255674055,17.0,0.0,20.000219345092773,3,45,0,0.009009009255674055,0.6000000000000001,0.0
1,0.0,-0.0009009009255674055,17.0,0.0,21.013259887695312,3,45,0,0.009009009255674055,0.6000000000000001,0.0
2,0.0,-0.0009009009255674055,17.0,0.0,20.818471908569336,3,45,0,0.009009009255674055,0.6000000000000001,0.0
3,0.0,-0.0009009009255674055,17.0,0.0,20.65896987915039,3,45,0,0.009009009255674055,0.6000000000000001,0.0
4,0.0,-0.0009009009255674055,17.0,0.0,24.168968200683594,3,45,0,0.009009009255674055,0.6000000000000001,0.0
5,0.0,-0.0009009009255674055,17.0,0.0,21.33774757385254,3,45,0,0.009009009255674055,0.6000000000000001,0.0
6,0.0,-0.0009009009255674055,17.0,0.0,20.093679428100586,3,45,0,0.009009009255674055,0.6000000000000001,0.0
7,0.0,-0.0009009009255674055,17.0,0.0,30.120134353637695,3,45,0,0.009009009255674055,0.6000000000000001,0.0
8,0.0,-0.0009009011187578684,17.0,0.0,37.00089454650879,3,45,0,0.009009011187578684,0.6000000000000001,0.0
9,0.0,-0.0009009011187578684,17.0,0.0,27.532100677490234,3,45,0,0.009009011187578684,0.6000000000000001,0.0
10,0.0,-0.0009009011187578684,17.0,0.0,23.534774780273438,3,50,0,0.009009011187578684,0.6000000000000001,0.0
11,0.0,-0.0009009011187578684,17.0,0.0,31.10218048095703,3,50,0,0.009009011187578684,0.6000000000000001,0.0
12,0.0,-0.0009009011187578684,17.0,0.0,20.99323272705078,3,50,0,0.009009011187578684,0.6000000000000001,0.0
13,0.0,-0.0009009011187578684,17.0,0.0,21.953821182250977,3,50,0,0.009009011187578684,0.6000000000000001,0.0
14,0.0,-0.0009009009255674055,17.0,0.0,25.472164154052734,3,45,0,0.009009009255674055,0.6000000000000001,0.0
15,0.0,-0.0009009009255674055,17.0,0.0,21.535158157348633,3,45,0,0.009009009255674055,0.6000000000000001,0.0
16,0.0,-0.000900911534530979,17.0,0.0,25.57063102722168,3,45,0,0.00900911534530979,0.6000000000000001,0.0
17,0.0,-0.0009009009255674055,17.0,0.0,21.50249481201172,3,45,0,0.009009009255674055,0.6000000000000001,0.0
18,0.0,-0.0009009009255674055,17.0,0.0,19.691944122314453,3,45,0,0.009009009255674055,0.6000000000000001,0.0
19,0.0,-0.0009009009255674055,17.0,0.0,20.800352096557617,3,45,0,0.009009009255674055,0.6000000000000001,0.0
20,0.0,-0.0009009009255674055,17.0,0.0,22.027254104614258,3,45,0,0.009009009255674055,0.6000000000000001,0.0
21,0.0,-0.0009009009255674055,17.0,0.0,23.0560302734375,3,45,0,0.009009009255674055,0.6000000000000001,0.0
22,0.0,-0.0009009009255674055,17.0,0.0,21.956205368041992,3,45,0,0.009009009255674055,0.6000000000000001,0.0
23,0.0,-0.0009009009255674055,17.0,0.0,21.018028259277344,3,45,0,0.009009009255674055,0.6000000000000001,0.0
24,0.0,-0.0009009009255674055,17.0,0.0,21.20804786682129,3,45,0,0.009009009255674055,0.6000000000000001,0.0
25,0.0,-0.0009009009255674055,17.0,0.0,20.989418029785156,3,45,0,0.009009009255674055,0.6000000000000001,0.0
26,0.0,-0.000900900903287692,17.0,0.0,19.015073776245117,3,45,0,0.00900900903287692,0.6000000000000001,0.0
27,0.0,-0.000900900903287692,17.0,0.0,18.07999610900879,3,45,0,0.00900900903287692,0.6000000000000001,0.0
28,0.0,-0.000900900903287692,17.0,0.0,20.993471145629883,3,45,0,0.00900900903287692,0.6000000000000001,0.0
29,0.0,-0.000900900903287692,17.0,0.0,21.992206573486328,3,45,0,0.00900900903287692,0.6000000000000001,0.0
30,0.0,-0.000900900903287692,17.0,0.0,23.000478744506836,3,45,0,0.00900900903287692,0.6000000000000001,0.0
31,0.0,-0.000900900903287692,17.0,0.0,19.039630889892578,3,45,0,0.00900900903287692,0.6000000000000001,0.0
32,0.0,-0.000900900903287692,17.0,0.0,17.99631118774414,3,45,0,0.00900900903287692,0.6000000000000001,0.0
33,0.0,-0.000900900903287692,17.0,0.0,18.9974308013916,3,45,0,0.00900900903287692,0.6000000000000001,0.0
34,0.0,-0.000900900903287692,17.0,0.0,22.953510284423828,3,45,0,0.00900900903287692,0.6000000000000001,0.0
35,0.0,-0.000900900903287692,17.0,0.0,19.92344856262207,3,45,0,0.00900900903287692,0.6000000000000001,0.0
36,0.0,-0.000900900903287692,17.0,0.0,23.553133010864258,3,45,0,0.00900900903287692,0.6000000000000001,0.0
37,0.0,-0.000900900903287692,17.0,0.0,20.008325576782227,3,45,0,0.00900900903287692,0.6000000000000001,0.0
